ID,hexaco_HH,hexaco_E,hexaco_X,hexaco_A,hexaco_C,hexaco_O,Machiavellianism,Narcissism,Psychopathy,power_harassment,gender_harassment,age,gender,area
SBZ0001,2.6,3.2,2.8,3.4,3.6,3.3,4.2,2.4,2.1,1.1,1,20,1,Kanto
SBZ0002,2.3,3.4,2.4,2.1,2.9,4.4,4.1,2.1,1.9,1.3,1.3,20,1,Kanto
SBZ0003,4.8,3.2,2.3,3.8,4.4,3.6,2,1.2,2.1,1,1,30,0,Kinki
SBZ0004,2.1,2.8,3.5,1.6,1.7,4.5,4,2.3,4.2,1.8,1.2,20,1,Kinki
SBZ0005,3.8,3.6,3.1,3.6,2.6,4.4,2.1,2.3,2,1.1,1.5,10,1,Shinetsu
SBZ0006,2.2,3.5,3.2,1.8,2.2,3.7,3.3,3.8,3.7,2.5,1.6,20,1,Tokai
SBZ0007,3.3,4.4,3.2,3.6,2.6,3.8,3,2.7,3,1.3,2.1,10,1,Tokai
SBZ0008,2.5,3.5,2.5,2.8,3.3,3.8,3.8,2.8,2.7,2.1,3.5,10,1,Tokai
SBZ0009,3,3.1,4.6,4.1,4,4.8,4.7,2.3,1.4,1.1,1.4,20,1,Kanto
SBZ0010,3.6,3.9,2.1,3.4,3.6,4,3.9,2.7,2.6,1,1.3,20,1,Kanto
SBZ0011,3.8,3.8,2,2.5,3.6,4.4,4,2.4,2.4,1.3,1.2,20,0,Kanto
SBZ0012,2.1,1.6,3.8,2.7,4.1,4.6,4.7,4,4.4,2.3,4.1,30,0,Kanto
SBZ0013,3.6,2.7,2.5,3.7,2.8,4.3,3.4,2.9,2.6,1,1.2,40,0,Kanto
SBZ0014,4.2,2,3.1,4.4,4.1,4.4,2.8,1,1.2,1,1,20,1,Kanto
SBZ0015,4.2,2.7,2,2.8,3.8,4.5,4,2.2,2.8,1.3,1.2,30,1,Kanto
SBZ0016,3,2.1,2.7,3,2.4,2.9,3.6,2.1,3.3,1.4,1.1,20,1,Kanto
SBZ0017,3,3.2,4,3.4,4.2,4.8,3.7,2.9,2.8,1.1,1.3,20,0,Shinetsu
SBZ0018,3.7,4.1,3.3,3,3.4,4.4,2.6,2.4,2,1.2,1.3,30,0,Kinki
SBZ0019,1.7,2.9,3.3,3.1,3,2.8,4.3,3.3,3.1,1.1,1.7,30,0,Chugoku
SBZ0020,2.9,2.6,2.8,3.2,2.4,3.4,4.2,2.4,3.6,1,1.9,30,0,Kinki
SBZ0021,3.3,3.4,3.7,2.3,4.1,2,3.9,3.6,2.4,1.3,2.1,50,1,Kanto
SBZ0022,2.5,3.8,2,1.9,3.4,2.8,3.4,3.2,3.4,1.2,1.6,30,0,Tokai
SBZ0023,3.4,3.9,2,3.3,3.3,3.2,3.6,2.2,1.6,1.1,1.5,20,1,Kyushu
SBZ0024,2.7,2.8,2.7,2.8,3.2,3.1,2.8,2.6,3.4,2.3,3,30,1,Kanto
SBZ0025,3.7,3.9,2.2,3.2,2.2,2.8,3.6,1.8,2.2,1.1,1.2,20,0,Kanto
SBZ0026,3.3,3.8,2.6,2.6,3.1,2.9,3.6,2.3,2.6,1.1,1,50,1,Kinki
SBZ0027,3.4,4.7,2,2.2,2.6,2.4,3.3,2.1,2.9,1.8,2.7,30,0,Kyushu
SBZ0028,2.7,3.6,3.7,2.3,3.4,3.3,4.4,2.8,3.3,2,2.6,40,1,Kinki
SBZ0029,2.9,4,1.2,1.8,3.4,3.2,3.8,1.7,3.3,1.5,2.7,30,1,Kanto
SBZ0030,3.6,3.3,2.6,3.2,2.8,2.7,3.6,2.6,2.6,1.3,3.3,20,0,Kinki
SBZ0031,2.9,4.3,1.6,3.1,3.3,4.2,4.2,1.3,2.7,1,1,20,1,Chugoku
SBZ0032,4,4.2,1.2,1.7,2.9,3.5,4,1.6,1.6,1.1,1,30,1,Kanto
SBZ0033,3.5,4.3,1.9,2.8,3.4,2.4,3.6,1.9,2.7,1,1.1,30,1,Kanto
SBZ0034,3.2,4.3,2.1,2.8,3.3,3.4,4.3,1.7,2.2,1,1,30,1,Kanto
SBZ0035,2.7,3.9,2.7,2.9,2.9,2.2,4,2.3,2.4,1.2,1.7,20,0,Kanto
SBZ0036,3.8,3.3,3,2.6,3.4,3.1,3.2,2.3,1.4,1,1.1,30,1,Tohoku
SBZ0037,3,2.7,2.9,3,3,3.1,1.1,2.6,1.9,1.4,2.3,40,0,Kanto
SBZ0038,3.5,3.3,3.2,3.3,3.5,3.1,3.2,2.4,2.6,1,2.7,40,0,Kanto
SBZ0039,3.1,3.3,3.2,3.1,3.3,2.8,3.1,2.3,1.9,1.1,3,40,1,Kyushu
SBZ0040,2.9,3.8,1.4,2,3.2,2,4.9,1.7,3.4,1.4,1.6,30,1,Kanto
SBZ0041,2.5,4.2,2.6,2.5,1.6,3.2,4.9,1.4,3.1,2.3,1.4,20,1,Kinki
SBZ0042,3.7,3.3,2.8,3.2,3.7,2,3.2,2.2,2.2,1,1,30,1,Kanto
SBZ0043,2.6,2.6,3.4,3.3,3.4,3.5,2.6,3.2,3,1.4,1.5,30,0,Kanto
SBZ0044,2,3.5,2.2,1.8,2.8,4.1,3.3,3,3.1,1.7,3.5,30,1,Kanto
SBZ0045,3.9,4.3,1.9,2.8,3,1.9,4,1.1,1.8,1,1.1,30,1,Shinetsu
SBZ0046,3.7,3.6,1.7,2.5,2.5,2.3,3.2,1.3,2.2,1,1.3,20,1,Kinki
SBZ0047,4.1,3.8,2.6,3.7,4.1,3.6,2.8,1.4,1.8,1,1,30,1,Kinki
SBZ0048,2.9,2.5,3.3,2.2,4.4,3.8,3.8,2.8,3.2,1.1,3.3,40,1,Kanto
SBZ0049,3.9,2.6,3,4.7,2.9,2.6,3,1.9,1.7,1,1.3,50,0,Kyushu
SBZ0050,3.2,2.9,2.9,3,3.2,2.9,2.4,2.9,2.7,1.1,3,20,1,Kanto
SBZ0051,3.9,3,3.7,3.4,3.2,3.3,3,3.1,2,1.1,2.3,30,0,Kanto
SBZ0052,2.7,3,2.9,3.3,2.9,2.9,3,2.8,3,1,2.2,30,0,Kanto
SBZ0053,3,3.1,2.8,2.6,3.1,2.7,3.1,3,3.1,1.8,3.1,20,0,Tokai
SBZ0054,2.2,3.8,3.7,2.6,3.9,2.2,3.8,3.4,3.2,1.1,2.2,30,1,Hokkaido
SBZ0055,2.2,4.1,3.2,2.7,2.9,2.6,4,2.4,3,1.4,2.8,40,1,Hokkaido
SBZ0056,3.3,3.4,2.6,2.8,2.8,2.7,3.1,1.9,2.6,1.4,2.3,40,1,Kanto
SBZ0057,3.3,4,2.7,2.6,3.2,3.7,3.8,1.9,2.8,1.1,1,30,1,Tokai
SBZ0058,4,4.2,1.9,2.9,1.8,2.3,2.2,1.2,1.7,1.2,2.2,30,0,Kanto
SBZ0059,2.9,4,3.7,1.3,3.7,3.2,3.4,3.1,4,1.1,1.7,30,1,Kanto
SBZ0060,3.3,4.2,1.6,2.1,3.3,3.4,3.7,1.8,2.4,1.2,1.6,50,1,Kanto
SBZ0061,3.1,3.1,2.9,3.1,3,3.3,3,2.4,2.7,1.4,1.4,40,0,Kinki
SBZ0062,3.8,4,1.6,2.8,4.4,3.1,2.9,1.8,1.7,1.1,1.2,30,1,Tohoku
SBZ0063,3.2,4.3,2.2,2,2.7,4,3.6,2.7,2.7,1.2,1,40,1,Tokai
SBZ0064,3.1,2.7,1.6,3.6,2.7,3.5,3.7,2,2.1,1.3,2.5,20,0,Kanto
SBZ0065,3.2,3.8,2.4,2.1,2.4,3,3.3,3.3,3.4,1.4,1.3,50,0,Kanto
SBZ0066,3.7,4.3,2.8,2.4,3.4,3.3,3.7,1.4,3.1,1.2,2.3,40,1,Kanto
SBZ0067,3,3,3.1,2.9,3.2,2.9,3.1,3.2,3.1,1.5,2.3,40,0,Kinki
SBZ0068,3,2.9,3.1,3.3,3,2.9,3.4,3.3,3.2,1.9,2.2,10,0,Tokai
SBZ0069,3.2,3.2,2.7,3.6,2.8,2.3,3.1,3,3.2,1.8,3.1,40,0,Kanto
SBZ0070,4,4.7,1.6,2.3,2.3,1.7,3.2,1.9,2.2,1.7,3,30,1,Kanto
SBZ0071,4,3.6,1.9,3.5,3.8,2.3,3.7,1.3,1.3,1.1,1.5,40,0,Kanto
SBZ0072,3.3,3.9,2.8,3,3.1,2.4,3.4,2,2.7,1.3,2.2,20,1,Kinki
SBZ0073,3.6,2.5,2.5,3,2.3,4,4,2.7,3.3,1.1,2.6,20,0,Kinki
SBZ0074,4,4.5,1.8,2,2.8,2.6,3.3,1.6,2.2,1.3,1.3,30,1,Kinki
SBZ0075,2.6,3.4,2.5,2.2,3.5,3.7,4.1,2.6,2.2,1.2,1,20,0,Kinki
SBZ0076,3.1,3.9,3,1.9,2.3,3,4.9,2.9,2.4,2.1,1.1,30,1,Chugoku
SBZ0077,2.7,3.2,2.9,3,3,3.1,4.1,3,3.7,2,3.6,20,0,Kanto
SBZ0078,3.2,3.5,2.8,2.8,3.2,3.2,3.9,2.6,3.2,1.6,3.2,30,1,Kinki
SBZ0079,3.2,3.1,2.9,3,3.1,3.1,2.8,2.7,1.8,1.3,1.8,60,1,Kinki
SBZ0080,3.4,3.8,1.5,2.4,4,3.7,3.8,2.4,2.6,1.1,1.4,50,1,Kanto
SBZ0081,3.2,3.1,2.6,4,3.5,2.4,3.6,2.4,1.9,1.2,2.8,20,0,Tokai
SBZ0082,2.9,3.2,2.9,2.7,3.4,3.1,3.6,2.4,2.7,1,1,30,1,Kinki
SBZ0083,3.3,3.3,2.8,3,2.8,4.1,3.9,2.2,2,1.2,2.5,30,1,Hokkaido
SBZ0084,2.6,3.3,3.2,3,3,3,4,3.6,3.3,1,2.9,30,0,Tokai
SBZ0085,3.2,4.4,1.8,2.3,2.3,2.1,4.1,1.3,2,1.2,1.5,30,1,Kyushu
SBZ0086,2.9,3.8,3.1,2.4,3.3,2.2,4.2,2.4,2.4,1.1,1.7,30,1,Kanto
SBZ0087,3.7,3.9,2.9,3.2,4.1,2.7,3.8,2.6,2.8,1.1,2.2,30,1,Kyushu
SBZ0088,2,3.4,3.9,2.6,2.5,3.5,3.1,2.6,2.4,1,2.8,30,1,Kanto
SBZ0089,3.2,3,3,2.7,3.3,2.8,3.2,3.2,3.2,2.1,3.2,40,0,Kanto
SBZ0090,2.7,3.7,2.1,4.3,3.1,2.2,3,2,2.1,1,1.3,30,0,Kinki
SBZ0091,2.4,4.3,3.6,2.2,3,3.7,3.8,3.6,2.4,1.3,2.5,40,1,Kinki
SBZ0092,3.2,4.4,1.8,1.9,3.7,1.7,4.4,1.6,2.6,1.3,1.4,20,1,Tokai
SBZ0093,4,3.1,3.5,2.2,3.6,2.9,3.4,2.3,2.9,1.2,1.2,40,1,Kyushu
SBZ0094,2.7,3.5,3,2.6,2.6,3.6,3.9,1.8,2.8,1.1,1.1,10,0,Kanto
SBZ0095,3,3.2,2.7,2.9,3,2.9,3,2.9,2.7,2.5,1.9,20,1,Kinki
SBZ0096,3,3.1,2.3,2.5,2.9,2.6,3.3,2.8,3,1.4,2.2,30,0,Kyushu
SBZ0097,4,2.8,3.3,3.3,3.4,3.6,2.4,1.7,2.6,1,1.8,40,1,Kanto
SBZ0098,3.1,3.4,2.8,2.7,2.7,3.5,4.2,2.7,2.7,1.1,2.5,30,1,Kinki
SBZ0099,3.9,2.9,1.8,2.9,3.2,2.9,2.4,1.7,1.2,1,1.2,30,0,Kanto
SBZ0100,3.4,4.3,2.1,2.3,2.8,2.9,3.1,1.6,2.2,1.1,1.5,40,0,Kanto
SBZ0101,3.9,3.3,1.6,2.7,3.6,2.3,2.6,1,2.1,1.2,1.2,40,0,Tokai
SBZ0102,3.1,3.7,3.2,3.2,4,3,3.3,3.1,1.9,1,1.2,60,1,Kanto
SBZ0103,3.6,3.4,3.4,2.2,2.9,2.6,4,2.6,3.4,1.1,1.3,40,0,Tokai
SBZ0104,3.6,3.5,2.7,2.8,4.2,4.3,3.9,1.9,1.4,1,1,50,1,Kanto
SBZ0105,3.2,3.4,3.7,3.1,3.2,3.4,2.7,2.2,2.2,1.2,2,40,0,Shikoku
SBZ0106,3.3,4.3,1.4,1.6,2.8,2.2,4.1,2.6,3.9,1.8,3.7,40,0,Kanto
SBZ0107,2.7,3.1,3.2,3.1,3,2.9,3.6,3,3.1,2.2,3.4,30,0,Kanto
SBZ0108,3,3,3.1,3.7,3,2.7,3.8,2.3,2.2,1.3,1,30,1,Kyushu
SBZ0109,4.1,4.2,1.4,3.5,4.6,2.8,3.7,1.6,2,1,1,50,1,Kanto
SBZ0110,3.6,3.9,2.7,2.6,4,2.7,3.7,2.4,2,1,1.1,40,1,Kanto
SBZ0111,4,2.9,2.8,3.2,2,3,3.3,1.9,2.4,1,2.8,30,1,Kanto
SBZ0112,3.3,3.9,3.2,3,2.9,3.4,3.2,2.6,2.1,1,2.4,40,1,Kanto
SBZ0113,3.6,4.2,2.1,2.5,2.7,2.8,3.2,1.6,2.9,1,1.9,40,1,Kanto
SBZ0114,2.9,3.1,2.6,2.9,3.1,3,3.6,1.7,1.6,1,1,20,0,Chugoku
SBZ0115,3.3,3.5,1.4,3,2.7,1.7,3.3,1.3,2.4,1.1,1.2,40,0,Kanto
SBZ0116,3.3,3,3.3,3,3,3.9,3.3,2.9,2.7,1.6,3.1,60,0,Kanto
SBZ0117,3.1,4.1,2,2.7,2.9,2,3.7,1.9,2.4,1,2.4,40,1,Tohoku
SBZ0118,3.9,4.1,1.1,1.7,2.9,2.7,4.6,1.3,2.2,1.3,1.5,30,0,Kanto
SBZ0119,2.6,3.1,3.1,2.9,2.9,3,3.6,3.1,3.1,1,2.9,40,0,Kanto
SBZ0120,3.4,3.1,3,2.5,2.9,2.5,3.3,2,2.4,1.1,1.5,40,1,Kanto
SBZ0121,3.5,3.3,2.6,3,3.1,3.2,3.2,2.6,2.7,1.2,1.9,30,0,Tohoku
SBZ0122,3.4,4.1,1.8,2.2,3.6,4.2,4,2.2,2.6,1.1,1.8,30,1,Kinki
SBZ0123,3.4,4.2,2,2.7,2.8,3.8,3.8,2,2.7,1,1,30,1,Tohoku
SBZ0124,2.7,4,1.9,1.3,2.5,2.4,4.1,1.9,2.3,1.4,1.6,30,1,Shikoku
SBZ0125,3.7,2.9,2.3,2.5,3.5,2.5,4.2,2,1.9,1.2,1.2,20,1,Tokai
SBZ0126,4,2.7,2,2.7,4.1,3.6,3,2.4,3.3,1.2,2.9,30,0,Kanto
SBZ0127,3.3,3,3.2,4.2,2.5,2.2,3.1,2.8,1.3,1.1,1.3,40,1,Kanto
SBZ0128,3.2,3,4.1,3.7,3.6,4,3.6,3.1,2.6,1.5,3.3,50,0,Kanto
SBZ0129,3.6,3.4,2.2,3,3.3,3.2,2.8,2.9,1.9,1.2,2.9,30,1,Kanto
SBZ0130,3.6,3.4,1.8,1.5,3.4,3.9,3.9,1.4,3,1.2,1.2,20,1,Tokai
SBZ0131,3.3,3.2,3,3.3,2.8,3.4,3.3,2,2.7,1,1,30,1,Okinawa
SBZ0132,3.1,4.8,2.6,2.4,3.4,3.3,4.2,2.9,2.3,1.1,1.3,30,1,Kanto
SBZ0133,3.9,3.3,3.9,3.4,3.7,3.4,2,2.3,1.8,1,1.6,30,1,Hokuriku
SBZ0134,3.3,4.1,2.7,2.2,3.2,2.5,3.6,1.4,2.4,1.1,2.5,30,1,Kinki
SBZ0135,3.3,3,2.8,3.2,3,3,2.9,3.2,2.7,1.6,1.8,30,0,Hokkaido
SBZ0136,2.9,4.6,2.2,3.5,2.6,3.1,3.1,1.8,2.4,1,1.2,30,1,Kyushu
SBZ0137,3.1,3,2.7,3.3,2.7,2.8,2.2,2,2.1,1.7,1.8,30,0,Hokkaido
SBZ0138,3.3,4,2.1,2.4,3.1,2.9,3.3,2.1,2.4,1.2,2.4,40,1,Chugoku
SBZ0139,3.7,4.1,1.6,3.1,3.3,2.6,4.1,1.2,1.7,1,1,30,1,Kinki
SBZ0140,3.2,2.7,3.1,3,3.2,3,3.2,2.8,2.9,1,1.2,20,1,Kanto
SBZ0141,2.9,3.9,1.9,2.2,2.5,3.3,3.6,1.4,2.7,1.3,1.6,30,1,Kanto
SBZ0142,3.7,2.8,3.7,3.1,3.6,4.3,3.3,2.2,2,1,1,40,0,Kanto
SBZ0143,3.2,4.1,2.4,2.7,2.9,3.4,3.9,1.9,2.2,1,1.1,40,1,Kanto
SBZ0144,3.6,3.1,2.9,3,3.9,2.9,3.3,3,2.9,1,1.8,50,0,Kanto
SBZ0145,3,3.2,2.7,3,3,2.7,3.9,2,1.7,1.3,2,30,1,Kinki
SBZ0146,3.4,3.4,1.2,2.2,3,3.1,3.3,1.7,2.6,1.1,2.5,30,1,Kanto
SBZ0147,3.2,3.5,3.8,4.1,3.6,3.8,3.1,3.1,1.8,1.1,2,20,1,Kinki
SBZ0148,3.8,4,3,3.3,3.4,3.5,3.1,2.1,1.8,1.1,1.6,30,1,Kinki
SBZ0149,2.9,3.6,3.2,2.7,2.2,3.4,3.8,2.6,1.9,1,1.8,30,1,Shinetsu
SBZ0150,3.8,3.5,2.7,3.8,3.1,3.7,2.8,1.6,1.3,1,1.2,40,1,Kinki
SBZ0151,3.9,3.7,2.3,2.7,3.5,3.5,3.3,2.1,1.9,1.1,1.2,40,0,Kanto
SBZ0152,3.2,3.4,2.2,3.1,2.9,2.4,3.4,2.9,2.3,1.3,2.5,30,1,Kanto
SBZ0153,3.5,3.8,1.6,2.5,2.1,2.5,3.8,1.7,1.8,1.8,1.2,40,1,Hokkaido
SBZ0154,3.8,3.5,2.9,3.1,3.5,3.3,2.6,2.7,1.4,1,1.8,40,1,Kanto
SBZ0155,1.9,2.5,4.7,2,2.8,3.9,3,4,2.6,1.7,2.5,30,0,Kanto
SBZ0156,3.5,3.9,1.5,2.6,3.3,3.4,4.1,1.8,2.1,1.2,1,30,0,Tokai
SBZ0157,3.4,3.8,3,3.5,3.4,2.3,3.1,2.4,2.6,1,1.5,30,1,Kinki
SBZ0158,3.2,2.1,3.7,4.4,3.5,4.3,3.2,3.9,2.3,1,1.2,30,0,Kyushu
SBZ0159,3.6,4,3.8,3.6,3.3,2.7,4,1.4,1.6,1.3,1.3,50,1,Kanto
SBZ0160,2.6,3.3,2.6,2.5,3,2.7,2.4,1.2,2,1.1,1.2,30,1,Kyushu
SBZ0161,2.6,2.6,2.9,3.1,3.7,3.6,4.7,2.9,2,1.3,1.2,20,1,Shinetsu
SBZ0162,3.4,3.2,4,3.7,3.3,4.4,4.4,3.1,2.2,1,2.3,20,0,Kinki
SBZ0163,2.6,2.8,4,3.2,3.4,2.7,4.3,4.3,3.3,1.3,4.2,50,1,Kanto
SBZ0164,3,3.5,2.9,3.4,3.5,3.4,3.8,2.6,2.4,1,2.5,40,1,Kinki
SBZ0165,3.6,2.7,2.5,3.3,3.4,2.8,3.3,2.4,2.3,1,2.2,10,1,Kanto
SBZ0166,2.7,3.8,2.6,3.3,3.8,3.3,3.8,3.1,2.1,1.1,1.2,40,1,Tokai
SBZ0167,3.4,3.7,2.5,2.2,3.4,2.6,3.2,2,2.3,1.1,1.2,40,1,Kanto
SBZ0168,3,3,3,2.8,3.2,3.2,4,3.1,3.2,1,1,30,1,Kanto
SBZ0169,3,3,3,3,3,3,4,3.6,3.4,1.1,1.7,20,1,Kinki
SBZ0170,3,3.1,3,2.9,3,3,3.7,3.4,3.7,1.3,1.6,30,1,Kanto
SBZ0171,3,3.6,2.9,2.7,2.9,3.1,3.9,2.7,4,1,1,30,1,Tokai
SBZ0172,3.5,4,3.4,3.4,3.9,2.9,3.3,1.6,1.8,1.1,1.5,30,1,Hokkaido
SBZ0173,3.2,3.8,3,2.6,3.1,3.2,4.2,3.3,3.6,1.1,1.4,20,1,Tohoku
SBZ0174,3.3,3.5,3,2.8,3.4,3.2,3.7,3.2,3.4,1.2,1.4,30,1,Kanto
SBZ0175,2.8,4,2.4,2.4,2.7,3.2,4.2,1.7,2.7,1.5,2.2,20,1,Kanto
SBZ0176,3,3.5,3.2,2.9,3.2,3.3,4,3.3,3.3,1.1,1.1,20,1,Kanto
