ID,hexaco_HH,hexaco_E,hexaco_X,hexaco_A,hexaco_C,hexaco_O,Machiavellianism,Narcissism,Psychopathy,power_harassment,gender_harassment,age,gender,area
SBZ0177,3.5,3.4,3.4,2.9,3.4,3.4,4.8,3.2,3.4,1.1,1.6,20,1,Kanto
SBZ0178,3.5,3.3,3.2,3.1,3.2,3.3,2.2,2.4,2,1.6,1.9,20,1,Kanto
SBZ0179,3.4,3.5,3.4,3.2,3.5,3.6,4.1,3.9,3.6,1,1,30,1,Hokkaido
SBZ0180,3.5,3.3,3.1,3.4,3.6,4,4.4,3.8,3.2,1,1,30,1,Shinetsu
SBZ0181,2.8,3.1,2.2,2.6,3.2,2.5,3.9,1.7,2.3,1.2,2.1,20,0,Tohoku
SBZ0182,3.1,2.9,3.1,2.9,3,3,3,3,3,1.1,3,40,1,Kanto
SBZ0183,3.3,3.6,1.7,2.6,2.5,3.1,3.7,1.6,2.9,1.2,1.3,30,1,Kanto
SBZ0184,3.8,3.5,2.5,3.1,2.5,2.6,2.4,1.7,2.2,1.1,1.5,50,1,Shinetsu
SBZ0185,3.3,4.2,2.4,2.3,2.7,2.4,3.8,2,3,1,1,30,1,Kanto
SBZ0186,3.7,4.6,1.4,2.3,2.9,2.2,3.7,1.7,1.3,1,1,40,1,Tohoku
SBZ0187,3.2,3.8,3.2,3,2.4,3.5,4,2.4,3,1.1,1.6,20,1,Kanto
SBZ0188,3.6,3.7,1.9,2.8,2.9,2.8,4.2,1.4,2.4,1.1,2.2,40,1,Kyushu
SBZ0189,3.9,3.7,2,3.4,3.4,2.6,2.9,1.6,2.1,1.1,2.6,40,1,Chugoku
SBZ0190,3,3.1,3.1,2.8,3.1,2.9,4.6,2.2,3,1,1.4,20,0,Kanto
SBZ0191,3.3,3.2,2.7,2.9,3.3,3,2.4,3.3,2.8,2.5,2.8,50,1,Kanto
SBZ0192,3.6,3.3,1.9,3.6,2.8,1.9,3.6,1.6,1.7,1.3,3,60,0,Hokuriku
SBZ0193,3.5,3.4,1.9,3.5,2.9,1.9,3.4,1.3,1.4,1.2,1.9,40,0,Hokuriku
SBZ0194,3.6,3.3,1.8,3.8,3,1.7,1.7,1.2,1.2,1.3,1.9,40,0,Hokuriku
SBZ0195,3,2.3,3.1,3,3.5,3.3,2.8,2.2,3.7,1.3,2.5,40,1,Tokai
SBZ0196,3.8,3.5,1.9,3.7,3.3,1.5,2.7,1.6,1.2,1.2,2.6,40,0,Hokuriku
SBZ0197,3.8,3.6,1.9,4,3.4,1.4,2.8,1,1.2,1.2,2.9,40,0,Hokuriku
SBZ0198,3.9,3.6,1.7,3.8,3.6,1.5,3.2,1.2,1.2,1.2,1.5,40,0,Hokuriku
SBZ0199,3.4,2.8,3.8,3.9,3.7,3.4,3.3,3.3,1.8,1,2.5,40,0,Chugoku
SBZ0200,3.1,3,2.9,3,2.8,2.9,2.7,2.8,2.9,1.4,2.8,30,0,Kanto
SBZ0201,3.1,2.6,2.9,3.2,3,2.9,3.3,2.2,2.9,1,3.9,20,0,Kinki
SBZ0202,2.9,2.9,4.1,2.8,4.5,3.1,3.6,3,1.9,1,1,30,1,Kanto
SBZ0203,2.5,3.8,1.9,2.4,2.1,2.9,2.1,1.7,2.1,1,1,30,1,Kinki
SBZ0204,4,3.3,3.1,3.2,3.9,4.3,2.8,2.6,2.8,1.2,1.3,40,1,Kinki
SBZ0205,2,4.7,3.9,2.3,3.3,4.6,4.7,3.7,3.4,1.3,1.9,30,1,Kanto
SBZ0206,3.2,3.5,2.3,3.3,3,2.7,3.2,2.1,2.7,1.1,1.8,40,0,Kanto
SBZ0207,3.2,3.7,2.2,2.1,3.7,2.1,3.9,1.8,2.2,1.3,1.8,30,1,Kinki
SBZ0208,4.1,3.5,2.5,3.2,4.5,2.7,3.9,2.7,2.1,1,1,30,1,Kinki
SBZ0209,3.3,4.1,1.9,3.3,3.5,3,3.8,1.9,2.2,1,2.5,40,1,Kinki
SBZ0210,3.4,3.9,3.9,2.4,2.1,4.1,1.7,2.6,1.9,1.2,1.3,10,0,Kanto
SBZ0211,3.2,4.3,1.1,2.3,3.6,3.9,4,1.9,2,1.2,2.3,20,1,Tokai
SBZ0212,1.6,2.9,2.6,2.1,4.3,4.4,4.7,4.8,2.4,1.2,1.5,10,1,Shinetsu
SBZ0213,2.9,3.4,2.8,4,3.6,3.5,3.3,2.7,1.6,1.2,3.7,20,0,Kanto
SBZ0214,3.4,3.1,1.4,3.1,4,4.1,4.8,2.4,2.4,1.7,1.7,20,0,Kinki
SBZ0215,3.7,3.8,2.5,1.8,4.3,3.8,4,1.9,2.8,1.1,1,20,0,Tokai
SBZ0216,3.6,1.7,2.9,3.4,4,3.9,4.4,3,1.2,1.1,1,30,0,Kanto
SBZ0217,3.1,1.4,1.3,2.4,4.8,4.7,4.3,3.7,2.6,1.3,1,40,0,Kanto
SBZ0218,3.8,4.4,2.7,1.9,3.2,3.4,3.3,1.6,2.9,1.3,1.6,50,1,Hokkaido
SBZ0219,2.1,5,1.2,1.5,1.9,3,4.8,2.1,3,1.1,2.2,30,1,Kanto
SBZ0220,3.3,3,1.9,2.2,2.1,3.7,2.2,2.2,2,1.1,1.5,20,1,Kanto
SBZ0221,3,3.3,4.8,3.8,3.3,3.7,3.2,3.2,2.7,1.2,2.5,30,1,Tokai
SBZ0222,4.2,2.6,1.8,4.1,3.6,4,3.1,2,1.7,1,1.6,30,1,Kanto
SBZ0223,2.3,3.8,2,2.8,2.2,4.3,3.6,2.6,3.2,1.1,1,20,1,Tohoku
SBZ0224,3.8,3.6,1.6,2.2,3.9,3.4,3.3,2.1,3,1.4,1.3,40,1,Kanto
SBZ0225,2.9,4.6,2.7,3,1.7,4.5,3.2,2.8,2.2,1.9,2.2,20,1,Kanto
SBZ0226,2.7,1.9,2.4,2.2,3.7,4.1,4.4,2.6,3.1,1.2,1.1,10,0,Kanto
SBZ0227,3.9,2.8,4.4,2.8,4.3,5,4.4,3.9,3.7,1.6,2.2,20,0,Kanto
SBZ0228,3.1,2.5,3.9,2.3,3.1,3.7,4,1.8,2.1,1.1,1.3,10,1,Tohoku
SBZ0229,3.7,2.5,2.1,3.7,3.8,3.7,4.8,3.1,2.4,1,1,30,0,Kanto
SBZ0230,2.7,4.7,3.2,1.8,4.5,3.7,2.8,3.3,2.9,1.4,1.3,20,1,Kanto
SBZ0231,3,4.4,1.7,1.9,3.9,3.3,4.4,3,3,1.8,1.9,20,0,Kanto
SBZ0232,3.2,3.9,3.2,3,2.6,3.3,3,2.4,2.8,1.4,2.1,40,1,Kinki
SBZ0233,2.1,3.9,2.9,2,4.2,4.4,4.1,3.3,2.3,1.4,2.2,10,1,Kanto
SBZ0234,2.5,3.6,3.1,3.5,2.9,3.4,3.8,2.8,1.6,1.1,1.7,10,1,Kinki
SBZ0235,3.2,1.2,3.5,3.7,2.7,2.3,3.4,3,3.1,1.2,1.2,30,1,Kanto
SBZ0236,3.8,3.8,3.5,1.6,4.3,4.2,3,2.7,1.7,1,1,30,1,Kanto
SBZ0237,3,3.1,1.4,2.5,2.2,4.1,3.6,1.8,2.9,1.4,2.6,20,0,Tokai
SBZ0238,3.2,4,2,1.7,3.1,3.8,4.3,1.7,3.1,1.2,1,30,0,Kanto
SBZ0239,2.2,4.5,3.7,2.5,2.4,3.7,4,2.2,3.7,2.2,1.8,10,1,Tohoku
SBZ0240,3.6,2.1,3.8,3.8,3.7,4.3,2.6,2.3,2.6,1.2,1.4,30,0,Tohoku
SBZ0241,1.8,1.3,4.2,3.1,4.5,4.5,4.6,4.3,4,1,1.4,20,1,Hokuriku
SBZ0242,4.2,3,2.5,4.1,2.4,4.8,2.3,2.8,1.8,1.3,1.8,30,1,Tokai
SBZ0243,3.5,3,1.8,3.5,3,3.3,4.2,1.9,2.2,1.3,1.5,20,0,Tokai
SBZ0244,3.2,3.2,2.3,3.8,2.7,4,3.3,2.8,1.7,1,1.2,10,1,Kinki
SBZ0245,4.6,2.7,1.9,3.2,4.6,2.4,3.1,1.7,1.7,1,1,20,1,Chugoku
SBZ0246,3.9,2.2,3.4,4.5,2.9,4,3.2,2.4,1.9,1.1,1.2,40,0,Kanto
SBZ0247,4,4.8,2.5,3.5,4,4.5,3.9,1.4,2.9,1,1,40,1,Kinki
SBZ0248,3.6,2.7,4,3.3,3.5,4.9,3,2.6,2.9,1.2,1,30,0,Kinki
SBZ0249,3.6,2.5,2.1,3,3,3.2,3.2,2.1,2.4,1.1,1.4,30,0,Tokai
SBZ0250,2.5,4.8,3.4,1.2,2.6,4.1,3.7,2.4,2.2,1.2,1.2,30,0,Kanto
SBZ0251,3.7,2,1.8,1.8,2.2,4.4,3.7,3.2,2.8,1.2,1.3,40,0,Kanto
SBZ0252,4,3.4,2.5,2.6,4.3,4.3,4.3,2.2,1.6,1,1.5,50,0,Kanto
SBZ0253,3.6,2.9,1.9,1.3,4.7,4.4,3.8,2.4,4,2.2,1.4,30,1,Kanto
SBZ0254,4.2,4.6,1.8,1.1,3,3.3,4.6,1.4,2.7,1.6,2,30,0,Kanto
SBZ0255,3.4,1.8,3.4,3.4,2,3.6,4.7,2.4,1.1,1.1,2.1,30,0,Kanto
SBZ0256,1.5,2.6,4.8,3,3.1,4.4,,,,1.1,1.8,10,0,Kanto
SBZ0257,2.9,2.4,1.9,1.5,2.6,3.3,4.3,2.3,2.9,1.5,1.4,30,1,Kanto
SBZ0258,3.3,2.2,4,3.9,3.2,3.5,3.3,3,2,1.1,1.2,30,0,Tokai
SBZ0259,3,3.2,2.1,4.2,2.1,4.5,3.9,1.9,2.2,1.1,1,10,0,Kinki
SBZ0260,3.8,1.4,1.2,3.1,1.7,4.2,3.1,2.8,2.1,1.1,1.2,20,1,Kanto
SBZ0261,2.5,2.9,2.9,3.4,2.1,4.4,3.8,1.9,2.6,1.4,1.1,10,1,Kanto
SBZ0262,3.8,2.9,2.4,4,3,4.7,3.4,2.9,1.8,1,1.5,50,0,Kanto
SBZ0263,4,2.8,3.9,2.1,4.3,4.6,3.4,1.8,3,1.1,1.2,30,0,Kyushu
SBZ0264,3.2,1.8,3.1,3,2.5,4,4.4,3.1,3.3,1.7,1.4,20,0,Tokai
SBZ0265,2.6,1.6,4.4,3.9,4.1,4.7,4.4,4.9,2.3,1.2,2,20,0,Kinki
SBZ0266,3.3,3.6,2,1.6,4.2,3.9,3.9,2,2.1,1.3,1.2,40,1,Hokkaido
SBZ0267,2.8,1.6,3.3,2.8,4.2,3.7,4,3.1,2.7,1.1,2.5,20,0,Kanto
SBZ0268,3.5,2.7,1.3,1.7,2.8,4,4,1.4,2.7,1.6,1,30,1,Kanto
SBZ0269,2.9,1.1,3.1,3.7,2.4,4.9,4.4,3,3.9,1,1,20,1,Kanto
SBZ0270,2.7,4.4,1.5,2.7,4.2,4.7,3.7,1.6,1.7,1.2,1.1,20,1,Kanto
SBZ0271,3.3,4.4,1.2,1.2,2.9,3.4,3.6,1.1,2.9,1.4,1.1,20,1,Hokuriku
SBZ0272,2.4,4.7,3.3,1.6,3.8,4.4,3.6,3,2.1,1,1.4,50,0,Tokai
SBZ0273,3,3.3,2.2,2.2,3.7,3.3,4.7,2.9,2.6,1.2,2.2,30,1,Kinki
SBZ0274,2.9,2.4,2.6,3.3,2.7,2.9,3.2,2.7,1.1,1,1.4,50,1,Kinki
SBZ0275,3.8,2.3,1.3,3.5,4,3.8,4.3,2.1,2.6,2.2,2.5,20,1,Kanto
SBZ0276,2.2,3.4,2.5,1.1,4.9,4.6,4,2.6,3.3,2.1,2.2,30,1,Tokai
SBZ0277,3.9,4.8,2.4,4.2,1.8,4.4,2.9,1.7,2.6,1,1.2,20,0,Kanto
SBZ0278,2.7,2.4,4.5,3.5,2.8,3.8,4,3,2.9,1.3,1,40,0,Kanto
SBZ0279,2.9,2.8,2.3,3.5,3.6,3.7,3.9,2,3,1.2,1.1,30,1,Kinki
SBZ0280,3.6,3.7,2.5,3.6,2.9,3.5,3.4,1.7,1.7,1.1,1.3,10,1,Kanto
SBZ0281,3.1,1.6,1.4,3,2.5,2.6,4.4,1.4,1.8,1.2,1.3,20,1,Kyushu
SBZ0282,2.5,3.1,2.8,1.6,2.5,3.9,4.2,2.8,3.4,1.7,1.5,10,1,Kanto
SBZ0283,3,1.5,3.4,2.7,4.7,3.9,3.9,3.2,2.8,1.2,2.5,20,0,Kanto
SBZ0284,2.9,2.8,4.2,3.5,1.3,4.3,4,3.7,3.3,1.4,1.3,20,1,Kanto
SBZ0285,3.3,2.7,3.1,1.3,4,4.6,3.9,3.8,3.7,1.7,1.2,20,0,Hokkaido
SBZ0286,3.9,2.9,2.2,2.7,2.5,3.3,2.6,1.8,1.7,1,1.2,40,0,Tohoku
SBZ0287,2.9,3.7,2.2,1.9,4.8,3.7,4.1,2.7,2.6,1.8,1.4,10,1,Kanto
SBZ0288,4.1,3.4,1.3,3.2,4.9,4.8,2.1,1.1,2,1.2,1,50,0,Tokai
SBZ0289,2.9,2.4,1.7,2.6,4,3.5,4.2,2.3,2.9,1,1,20,0,Kanto
SBZ0290,3,1.4,3.6,2.6,4,4.2,4.3,2.6,2.8,1.7,1.3,30,1,Shinetsu
SBZ0291,4.8,1.5,1.5,4.8,3,4.5,3.7,1.7,1.3,1.1,1.4,50,1,Kyushu
SBZ0292,2.3,2.4,4.6,3.7,2.9,4.9,1.8,2.6,2.3,2.2,3.8,20,0,Kanto
SBZ0293,3.5,2.9,3.5,3.8,2.4,3.8,4.2,1.4,2.9,1.7,1,20,1,Kinki
SBZ0294,3.5,2.4,1.9,3.1,3.5,4.4,4.2,1.2,2.1,1.6,1.5,40,1,Shikoku
SBZ0295,2.3,3.4,3.9,2.4,2.6,5,4.3,3,3.1,1,1.2,20,0,Kanto
SBZ0296,3.1,3.4,3.5,1.5,2.4,4,4.6,2.2,2.4,1.6,1.6,10,1,Kinki
SBZ0297,2.4,3.9,2,1.9,2.1,4.1,2.8,2.9,2.3,1.2,1,10,1,Kanto
SBZ0298,3.4,3.2,2.5,2.5,3.1,3.7,3.9,2,2.1,1.1,1.2,30,0,Kinki
SBZ0299,2.3,3,2,2.3,4.8,5,4.4,3.6,3.3,1.2,2.5,20,1,Kanto
SBZ0300,3.1,1.6,4.7,3,3.3,2.7,3.1,3,3.6,1.9,2.8,10,0,Kanto
SBZ0301,2.8,2.2,3,1.9,2.5,4.2,3.6,2.6,3.1,1.1,1,20,1,Tohoku
SBZ0302,3.2,2.5,3,2.7,4.2,4.2,2.9,2.6,3.2,1.1,2.6,20,0,Kanto
SBZ0303,2.9,3.3,3.6,3.6,2.9,2.8,3,1.3,2.8,1,1,30,0,Kanto
SBZ0304,2.8,4,1.5,2.5,1.8,3.4,4.3,1.6,3.7,1.7,1.4,30,0,Shinetsu
SBZ0305,2.8,3.5,3.2,1.7,4.5,4.8,3.7,2.6,2.1,1.1,2.5,40,0,Kyushu
SBZ0306,2.6,3.9,1.8,3.2,2.4,4.5,4.3,3,2.6,1.1,2.1,20,1,Kanto
SBZ0307,3.5,2.9,2.4,3.2,2.4,3.6,3.3,1.8,2.2,1.1,1.1,20,1,Hokkaido
SBZ0308,3.3,3.3,3,3.4,3.2,4.2,3.9,2.1,2,1,1,10,1,Kanto
SBZ0309,3,3.1,3.1,2.6,2.9,3.4,3.9,3,3.2,1.6,1.1,10,1,Kinki
SBZ0310,3,3.1,2.1,2.9,3,3.9,3,1.7,2.3,1.3,1,30,1,Kanto
SBZ0311,2.9,2.2,3.1,2.8,3.2,2.9,4.1,2.2,3.1,1.2,1,20,1,Kanto
SBZ0312,2.5,3.3,2.6,3,3.5,3.8,4.6,3.6,3,1.1,1,40,1,Tokai
SBZ0313,2.8,2.6,4.4,3.7,1.9,4.6,3.6,3.1,1.4,1.1,1.4,20,1,Kyushu
SBZ0314,4.1,3.5,4.5,4.5,4.2,5,4.6,4,2.7,1.4,2,20,0,Tokai
SBZ0315,3.7,4.9,3.3,3.3,2.7,4.5,2.9,2,1.7,1.1,1.2,20,1,Kinki
SBZ0316,4.1,3.6,2,1.7,3.4,4.2,3.3,2.6,2.3,1.1,1.3,20,1,Kinki
SBZ0317,3.9,4.4,2.4,2.5,3.1,4.8,3.6,2.9,3,1.6,1,20,1,Kinki
SBZ0318,1.6,2,1.9,1.5,3.4,4.6,4.4,1.7,3.3,1.9,1.5,10,1,Kanto
SBZ0319,2.5,2.5,3.2,3.5,3.5,4.7,4.6,3.3,2.3,1.2,1.4,10,1,Kanto
SBZ0320,3,4.7,1.1,3,3.9,3.1,4.1,2.3,2.4,1.1,1.1,20,1,Kanto
SBZ0321,3.5,2.3,2.6,3,3.3,3.8,4,1.8,1.8,1.2,2,20,0,Kinki
SBZ0322,2.2,2.8,4.6,2.8,4.7,4.1,3.3,3.9,2.9,1.1,1.4,40,1,Tokai
SBZ0323,4,4.7,1.3,4,3.6,1.8,3.6,1.4,1.3,1.3,1.5,40,0,Hokuriku
SBZ0324,3.3,4,4,2.6,2.8,3.8,3.3,2,1.4,1,1.2,20,1,Kanto
SBZ0325,4.7,3.4,4.5,3,4.2,4.5,2,3.2,2,1.1,1.3,20,1,Kanto
SBZ0326,4.6,3.3,3.3,2.5,2.5,3.8,2.7,2.1,2.1,1.3,1.2,30,0,Kanto
SBZ0327,3.1,3.9,1.9,3.5,2.7,3.1,4.3,1.9,2.6,1,1.2,20,1,Kinki
SBZ0328,3.8,3.6,1.5,2.3,3.6,4.8,3.9,2.4,2.4,1.1,2.1,20,1,Kinki
SBZ0329,3.8,3.4,4,4.5,2,4.3,4,3.7,3.4,1.8,1.5,10,0,Tohoku
SBZ0330,3.2,1.4,2.2,3.9,3.7,4.8,4.3,2.8,1.9,1.1,1.2,20,1,Tokai
SBZ0331,5,3.4,2.1,4,4.3,4.9,3,2.1,1.9,1.2,1.2,30,0,Kanto
SBZ0332,3.4,3.9,2.3,3.2,1.8,4.6,3.9,2.6,3.3,1.8,1.4,10,1,Kanto
SBZ0333,3.9,3.5,3.3,4.2,3.4,3.8,3.4,2.9,2.1,1.2,1,20,0,Kanto
SBZ0334,3.5,2.9,3,2.8,2.4,5,4.3,2.8,3.2,1.2,1.8,30,0,Kanto
SBZ0335,4.3,2.7,3.2,4.8,3.6,4.2,2.1,1.4,1.2,1,1.3,20,1,Kanto
SBZ0336,3.3,2,4.8,1.1,4.8,4,4,3,3.9,1.3,1,30,1,Kinki
SBZ0337,1.9,4.2,1.1,4.1,4,4,4.8,1.4,2.1,1.4,1.2,10,1,Kanto
SBZ0338,3.8,2.3,3.3,2.4,2.4,3.1,3.9,2.9,2.8,1.2,1.2,30,1,Kanto
SBZ0339,3.5,1.6,1.9,2.8,2.9,4.1,3.7,2.2,2.8,1.2,1,10,1,Kanto
SBZ0340,2.3,4.7,2.1,3.8,2.4,3.8,3.2,1.4,2.1,1.3,2,10,1,Tohoku
SBZ0341,5,3.1,1.9,2.8,4.9,4.9,2.7,1.8,2.1,1.2,1,30,0,Kanto
SBZ0342,2.9,3.2,3.3,2.6,3.4,4,4.4,3.2,2.1,1.3,1.3,20,1,Kanto
SBZ0343,1.8,1.9,4.6,3.5,3.7,4.5,2.8,2.8,2.4,2.3,2.6,20,1,Kanto
SBZ0344,3.1,4.2,2.4,2.2,3.1,3.5,4.4,2.1,2.4,1.3,1.9,20,1,Kyushu
SBZ0345,3.6,1.8,4.5,4,3.9,4.3,3.1,2.7,2.1,1,1,20,1,Kinki
SBZ0346,3.7,1.7,3.3,4,2.5,4.5,3.2,2.4,3,1.2,1.7,30,0,Kyushu
SBZ0347,3.4,4.2,1,2.2,3.4,3.8,3,1,3.7,2.1,1.4,30,0,Kanto
SBZ0348,3.5,2.3,3.2,3,3.8,3.5,3.4,1.8,2.1,1,1,50,1,Hokkaido
SBZ0349,3.8,2.6,2.1,3.5,4.1,4,3.3,1.1,2.2,1.3,1.4,30,1,Tohoku
SBZ0350,4.2,1.6,4,3.5,3.8,4.2,3.3,2.8,2.1,1.1,2.4,60,0,Kanto
SBZ0351,2.2,3,1.4,1,2.2,2.6,4.1,2.6,2.9,1,1,20,1,Kanto
SBZ0352,4.1,3.3,3.7,3.6,3,3.8,3.3,2.7,1.7,1,1.1,40,0,Kanto
SBZ0353,4.1,2.3,3.3,3.4,3,5,3.1,2.7,2.6,1,1.1,30,0,Kanto
SBZ0354,3.7,2.7,3.3,2.6,3.4,4.6,3.6,3.1,3.3,1.9,1,60,0,Kanto
